행정코드,시도,행정구역,연월,value
0,전국,전체,'16.12월,51696216
11,서울특별시,전체,'16.12월,9930616
11110,서울특별시,종로구,'16.12월,152737
11140,서울특별시,중구,'16.12월,125249
11170,서울특별시,용산구,'16.12월,230241
11200,서울특별시,성동구,'16.12월,299259
11215,서울특별시,광진구,'16.12월,357215
11230,서울특별시,동대문구,'16.12월,355069
11260,서울특별시,중랑구,'16.12월,411005
11290,서울특별시,성북구,'16.12월,450355
11305,서울특별시,강북구,'16.12월,327195
11320,서울특별시,도봉구,'16.12월,348220
11350,서울특별시,노원구,'16.12월,567581
11380,서울특별시,은평구,'16.12월,491476
11410,서울특별시,서대문구,'16.12월,314194
11440,서울특별시,마포구,'16.12월,379892
11470,서울특별시,양천구,'16.12월,477739
11500,서울특별시,강서구,'16.12월,595485
11530,서울특별시,구로구,'16.12월,417551
11545,서울특별시,금천구,'16.12월,235386
11560,서울특별시,영등포구,'16.12월,370613
11590,서울특별시,동작구,'16.12월,400997
11620,서울특별시,관악구,'16.12월,506851
11650,서울특별시,서초구,'16.12월,447192
11680,서울특별시,강남구,'16.12월,567115
11710,서울특별시,송파구,'16.12월,657831
11740,서울특별시,강동구,'16.12월,444168
26,부산광역시,전체,'16.12월,3498529
26110,부산광역시,중구,'16.12월,45208
26140,부산광역시,서구,'16.12월,112973
26170,부산광역시,동구,'16.12월,89826
26200,부산광역시,영도구,'16.12월,126362
26230,부산광역시,부산진구,'16.12월,376526
26260,부산광역시,동래구,'16.12월,272745
26290,부산광역시,남구,'16.12월,278779
26320,부산광역시,북구,'16.12월,310202
26350,부산광역시,해운대구,'16.12월,419853
26380,부산광역시,사하구,'16.12월,334603
26410,부산광역시,금정구,'16.12월,244624
26440,부산광역시,강서구,'16.12월,108909
26470,부산광역시,연제구,'16.12월,207268
26500,부산광역시,수영구,'16.12월,179324
26530,부산광역시,사상구,'16.12월,232800
26710,부산광역시,기장군,'16.12월,158527
27,대구광역시,전체,'16.12월,2484557
27110,대구광역시,중구,'16.12월,79712
27140,대구광역시,동구,'16.12월,351352
27170,대구광역시,서구,'16.12월,199507
27200,대구광역시,남구,'16.12월,156433
27230,대구광역시,북구,'16.12월,440383
27260,대구광역시,수성구,'16.12월,447011
27290,대구광역시,달서구,'16.12월,591891
27710,대구광역시,달성군,'16.12월,218268
28,인천광역시,전체,'16.12월,2943069
28110,인천광역시,중구,'16.12월,115249
28140,인천광역시,동구,'16.12월,71014
28170,인천광역시,미추홀구,'16.12월,417103
28185,인천광역시,연수구,'16.12월,328627
28200,인천광역시,남동구,'16.12월,530982
28237,인천광역시,부평구,'16.12월,549716
28245,인천광역시,계양구,'16.12월,330284
28260,인천광역시,서구,'16.12월,510733
28710,인천광역시,강화군,'16.12월,68010
28720,인천광역시,옹진군,'16.12월,21351
29,광주광역시,전체,'16.12월,1469214
29110,광주광역시,동구,'16.12월,95791
29140,광주광역시,서구,'16.12월,309579
29155,광주광역시,남구,'16.12월,219729
29170,광주광역시,북구,'16.12월,441066
29200,광주광역시,광산구,'16.12월,403049
30,대전광역시,전체,'16.12월,1514370
30110,대전광역시,동구,'16.12월,234959
30140,대전광역시,중구,'16.12월,252490
30170,대전광역시,서구,'16.12월,491011
30200,대전광역시,유성구,'16.12월,343222
30230,대전광역시,대덕구,'16.12월,192688
31,울산광역시,전체,'16.12월,1172304
31110,울산광역시,중구,'16.12월,242536
31140,울산광역시,남구,'16.12월,340714
31170,울산광역시,동구,'16.12월,174514
31200,울산광역시,북구,'16.12월,195285
31710,울산광역시,울주군,'16.12월,219255
36,세종특별자치시,전체,'16.12월,243048
41,경기도,전체,'16.12월,12716780
41110,경기도,수원시,'16.12월,1194041
41111,경기도,장안구,'16.12월,296479
41113,경기도,권선구,'16.12월,358393
