행정코드,시도,행정구역,5세별,성별,연월,value
0,전국,전체,0 - 4세,남자인구수[명],'22.12월,731554
0,전국,전체,0 - 4세,여자인구수[명],'22.12월,696036
0,전국,전체,5 - 9세,남자인구수[명],'22.12월,1078825
0,전국,전체,5 - 9세,여자인구수[명],'22.12월,1026227
0,전국,전체,10 - 14세,남자인구수[명],'22.12월,1212181
0,전국,전체,10 - 14세,여자인구수[명],'22.12월,1145771
0,전국,전체,15 - 19세,남자인구수[명],'22.12월,1211418
0,전국,전체,15 - 19세,여자인구수[명],'22.12월,1133826
0,전국,전체,20 - 24세,남자인구수[명],'22.12월,1532372
0,전국,전체,20 - 24세,여자인구수[명],'22.12월,1409469
0,전국,전체,25 - 29세,남자인구수[명],'22.12월,1829217
0,전국,전체,25 - 29세,여자인구수[명],'22.12월,1646123
0,전국,전체,30 - 34세,남자인구수[명],'22.12월,1737578
0,전국,전체,30 - 34세,여자인구수[명],'22.12월,1579679
0,전국,전체,35 - 39세,남자인구수[명],'22.12월,1691286
0,전국,전체,35 - 39세,여자인구수[명],'22.12월,1606968
0,전국,전체,40 - 44세,남자인구수[명],'22.12월,2052382
0,전국,전체,40 - 44세,여자인구수[명],'22.12월,1973867
0,전국,전체,45 - 49세,남자인구수[명],'22.12월,2046616
0,전국,전체,45 - 49세,여자인구수[명],'22.12월,2000252
0,전국,전체,50 - 54세,남자인구수[명],'22.12월,2300193
0,전국,전체,50 - 54세,여자인구수[명],'22.12월,2241879
0,전국,전체,55 - 59세,남자인구수[명],'22.12월,2053128
0,전국,전체,55 - 59세,여자인구수[명],'22.12월,2016864
0,전국,전체,60 - 64세,남자인구수[명],'22.12월,2091002
0,전국,전체,60 - 64세,여자인구수[명],'22.12월,2127035
0,전국,전체,65 - 69세,남자인구수[명],'22.12월,1544617
0,전국,전체,65 - 69세,여자인구수[명],'22.12월,1640885
0,전국,전체,70 - 74세,남자인구수[명],'22.12월,1035925
0,전국,전체,70 - 74세,여자인구수[명],'22.12월,1172331
0,전국,전체,75 - 79세,남자인구수[명],'22.12월,710630
0,전국,전체,75 - 79세,여자인구수[명],'22.12월,906831
0,전국,전체,80 - 84세,남자인구수[명],'22.12월,503828
0,전국,전체,80 - 84세,여자인구수[명],'22.12월,799521
