행정코드,시도,행정구역,5세별,성별,연월,value
0,전국,전체,0 - 4세,남자인구수[명],'12.12월,1194460
0,전국,전체,0 - 4세,여자인구수[명],'12.12월,1126833
0,전국,전체,5 - 9세,남자인구수[명],'12.12월,1214863
0,전국,전체,5 - 9세,여자인구수[명],'12.12월,1132555
0,전국,전체,10 - 14세,남자인구수[명],'12.12월,1544170
0,전국,전체,10 - 14세,여자인구수[명],'12.12월,1411806
0,전국,전체,15 - 19세,남자인구수[명],'12.12월,1846162
0,전국,전체,15 - 19세,여자인구수[명],'12.12월,1645141
0,전국,전체,20 - 24세,남자인구수[명],'12.12월,1752677
0,전국,전체,20 - 24세,여자인구수[명],'12.12월,1566863
0,전국,전체,25 - 29세,남자인구수[명],'12.12월,1706803
0,전국,전체,25 - 29세,여자인구수[명],'12.12월,1600605
0,전국,전체,30 - 34세,남자인구수[명],'12.12월,2078373
0,전국,전체,30 - 34세,여자인구수[명],'12.12월,1984225
0,전국,전체,35 - 39세,남자인구수[명],'12.12월,2085311
0,전국,전체,35 - 39세,여자인구수[명],'12.12월,2021034
0,전국,전체,40 - 44세,남자인구수[명],'12.12월,2366703
0,전국,전체,40 - 44세,여자인구수[명],'12.12월,2273044
0,전국,전체,45 - 49세,남자인구수[명],'12.12월,2143613
0,전국,전체,45 - 49세,여자인구수[명],'12.12월,2052798
0,전국,전체,50 - 54세,남자인구수[명],'12.12월,2226268
0,전국,전체,50 - 54세,여자인구수[명],'12.12월,2179200
0,전국,전체,55 - 59세,남자인구수[명],'12.12월,1689298
0,전국,전체,55 - 59세,여자인구수[명],'12.12월,1696804
0,전국,전체,60 - 64세,남자인구수[명],'12.12월,1189791
0,전국,전체,60 - 64세,여자인구수[명],'12.12월,1238812
0,전국,전체,65 - 69세,남자인구수[명],'12.12월,893794
0,전국,전체,65 - 69세,여자인구수[명],'12.12월,1006139
0,전국,전체,70 - 74세,남자인구수[명],'12.12월,779224
0,전국,전체,70 - 74세,여자인구수[명],'12.12월,995119
0,전국,전체,75 - 79세,남자인구수[명],'12.12월,467062
0,전국,전체,75 - 79세,여자인구수[명],'12.12월,728938
0,전국,전체,80 - 84세,남자인구수[명],'12.12월,210864
0,전국,전체,80 - 84세,여자인구수[명],'12.12월,452768
0,전국,전체,85 - 89세,남자인구수[명],'12.12월,81249
0,전국,전체,85 - 89세,여자인구수[명],'12.12월,220210
0,전국,전체,90 - 94세,남자인구수[명],'12.12월,25325
0,전국,전체,90 - 94세,여자인구수[명],'12.12월,81261
0,전국,전체,95 - 99세,남자인구수[명],'12.12월,5142
0,전국,전체,95 - 99세,여자인구수[명],'12.12월,20308
0,전국,전체,100+,남자인구수[명],'12.12월,2908
0,전국,전체,100+,여자인구수[명],'12.12월,9749
11,서울특별시,전체,0 - 4세,남자인구수[명],'12.12월,214127
11,서울특별시,전체,0 - 4세,여자인구수[명],'12.12월,202979
11,서울특별시,전체,5 - 9세,남자인구수[명],'12.12월,210558
11,서울특별시,전체,5 - 9세,여자인구수[명],'12.12월,198323
11,서울특별시,전체,10 - 14세,남자인구수[명],'12.12월,265630
11,서울특별시,전체,10 - 14세,여자인구수[명],'12.12월,245316
11,서울특별시,전체,15 - 19세,남자인구수[명],'12.12월,333823
11,서울특별시,전체,15 - 19세,여자인구수[명],'12.12월,301740
11,서울특별시,전체,20 - 24세,남자인구수[명],'12.12월,345267
11,서울특별시,전체,20 - 24세,여자인구수[명],'12.12월,338720
11,서울특별시,전체,25 - 29세,남자인구수[명],'12.12월,397714
