시도,행정구역,5세코드,연월,value
전국,전체,0,'12.12월,50948272
전국,전체,70,'12.12월,1899933
전국,전체,75,'12.12월,1774343
전국,전체,80,'12.12월,1196000
전국,전체,85,'12.12월,663632
전국,전체,90,'12.12월,301459
전국,전체,95,'12.12월,106586
전국,전체,100,'12.12월,25450
전국,전체,105,'12.12월,12657
서울특별시,전체,0,'12.12월,10195318
서울특별시,전체,70,'12.12월,401794
서울특별시,전체,75,'12.12월,326428
서울특별시,전체,80,'12.12월,193611
서울특별시,전체,85,'12.12월,104821
서울특별시,전체,90,'12.12월,50315
서울특별시,전체,95,'12.12월,19298
서울특별시,전체,100,'12.12월,5390
서울특별시,전체,105,'12.12월,3926
서울특별시,종로구,0,'12.12월,165207
서울특별시,종로구,70,'12.12월,7754
서울특별시,종로구,75,'12.12월,7124
서울특별시,종로구,80,'12.12월,4371
서울특별시,종로구,85,'12.12월,2420
서울특별시,종로구,90,'12.12월,1185
서울특별시,종로구,95,'12.12월,550
서울특별시,종로구,100,'12.12월,170
서울특별시,종로구,105,'12.12월,156
서울특별시,중구,0,'12.12월,133360
서울특별시,중구,70,'12.12월,6230
서울특별시,중구,75,'12.12월,5523
서울특별시,중구,80,'12.12월,3432
서울특별시,중구,85,'12.12월,1945
서울특별시,중구,90,'12.12월,938
서울특별시,중구,95,'12.12월,381
서울특별시,중구,100,'12.12월,136
서울특별시,중구,105,'12.12월,105
서울특별시,용산구,0,'12.12월,243232
서울특별시,용산구,70,'12.12월,10498
서울특별시,용산구,75,'12.12월,9721
서울특별시,용산구,80,'12.12월,6319
서울특별시,용산구,85,'12.12월,3468
서울특별시,용산구,90,'12.12월,1740
서울특별시,용산구,95,'12.12월,635
서울특별시,용산구,100,'12.12월,192
서울특별시,용산구,105,'12.12월,213
서울특별시,성동구,0,'12.12월,299604
서울특별시,성동구,70,'12.12월,12128
서울특별시,성동구,75,'12.12월,10391
서울특별시,성동구,80,'12.12월,6184
서울특별시,성동구,85,'12.12월,3086
서울특별시,성동구,90,'12.12월,1404
서울특별시,성동구,95,'12.12월,539
서울특별시,성동구,100,'12.12월,192
서울특별시,성동구,105,'12.12월,132
서울특별시,광진구,0,'12.12월,371313
서울특별시,광진구,70,'12.12월,13232
서울특별시,광진구,75,'12.12월,10597
서울특별시,광진구,80,'12.12월,6059
서울특별시,광진구,85,'12.12월,3214
서울특별시,광진구,90,'12.12월,1520
서울특별시,광진구,95,'12.12월,626
서울특별시,광진구,100,'12.12월,165
서울특별시,광진구,105,'12.12월,126
서울특별시,동대문구,0,'12.12월,363258
서울특별시,동대문구,70,'12.12월,16789
서울특별시,동대문구,75,'12.12월,14359
서울특별시,동대문구,80,'12.12월,8319
서울특별시,동대문구,85,'12.12월,4168
서울특별시,동대문구,90,'12.12월,1876
서울특별시,동대문구,95,'12.12월,719
서울특별시,동대문구,100,'12.12월,219
서울특별시,동대문구,105,'12.12월,176
서울특별시,중랑구,0,'12.12월,419295
서울특별시,중랑구,70,'12.12월,17356
서울특별시,중랑구,75,'12.12월,14030
서울특별시,중랑구,80,'12.12월,7997
서울특별시,중랑구,85,'12.12월,4094
서울특별시,중랑구,90,'12.12월,1899
서울특별시,중랑구,95,'12.12월,700
서울특별시,중랑구,100,'12.12월,217
서울특별시,중랑구,105,'12.12월,109
서울특별시,성북구,0,'12.12월,481857
서울특별시,성북구,70,'12.12월,20495
서울특별시,성북구,75,'12.12월,17864
서울특별시,성북구,80,'12.12월,10349
서울특별시,성북구,85,'12.12월,5322
서울특별시,성북구,90,'12.12월,2457
서울특별시,성북구,95,'12.12월,1002
서울특별시,성북구,100,'12.12월,283
서울특별시,성북구,105,'12.12월,228
서울특별시,강북구,0,'12.12월,343157
서울특별시,강북구,70,'12.12월,17108
서울특별시,강북구,75,'12.12월,14506
서울특별시,강북구,80,'12.12월,7945
서울특별시,강북구,85,'12.12월,3839
서울특별시,강북구,90,'12.12월,1681
서울특별시,강북구,95,'12.12월,700
서울특별시,강북구,100,'12.12월,186
서울특별시,강북구,105,'12.12월,182
서울특별시,도봉구,0,'12.12월,362270
서울특별시,도봉구,70,'12.12월,14660
서울특별시,도봉구,75,'12.12월,12768
서울특별시,도봉구,80,'12.12월,7676
서울특별시,도봉구,85,'12.12월,4227
서울특별시,도봉구,90,'12.12월,1959
서울특별시,도봉구,95,'12.12월,661
서울특별시,도봉구,100,'12.12월,183
서울특별시,도봉구,105,'12.12월,96
서울특별시,노원구,0,'12.12월,597189
서울특별시,노원구,70,'12.12월,20240
서울특별시,노원구,75,'12.12월,17924
서울특별시,노원구,80,'12.12월,11544
서울특별시,노원구,85,'12.12월,6662
서울특별시,노원구,90,'12.12월,3188
서울특별시,노원구,95,'12.12월,1148
서울특별시,노원구,100,'12.12월,273
서울특별시,노원구,105,'12.12월,171
서울특별시,은평구,0,'12.12월,501480
서울특별시,은평구,70,'12.12월,21667
서울특별시,은평구,75,'12.12월,18603
서울특별시,은평구,80,'12.12월,10888
서울특별시,은평구,85,'12.12월,5490
서울특별시,은평구,90,'12.12월,2548
서울특별시,은평구,95,'12.12월,906
서울특별시,은평구,100,'12.12월,256
서울특별시,은평구,105,'12.12월,291
서울특별시,서대문구,0,'12.12월,315113
서울특별시,서대문구,70,'12.12월,13983
서울특별시,서대문구,75,'12.12월,12958
서울특별시,서대문구,80,'12.12월,7873
서울특별시,서대문구,85,'12.12월,4029
서울특별시,서대문구,90,'12.12월,1861
서울특별시,서대문구,95,'12.12월,701
서울특별시,서대문구,100,'12.12월,198
서울특별시,서대문구,105,'12.12월,153
서울특별시,마포구,0,'12.12월,384644
서울특별시,마포구,70,'12.12월,15205
서울특별시,마포구,75,'12.12월,13210
