시도,행정구역,성별,연월,15~64세 고용률 (%)
서울특별시,종로구,계,'21상,59.5
서울특별시,종로구,계,'21하,63.6
서울특별시,종로구,계,'22상,64.7
서울특별시,종로구,남자,'21상,63.0
서울특별시,종로구,남자,'21하,69.0
서울특별시,종로구,남자,'22상,67.1
서울특별시,종로구,여자,'21상,56.2
서울특별시,종로구,여자,'21하,58.5
서울특별시,종로구,여자,'22상,62.5
서울특별시,중구,계,'21상,62.7
서울특별시,중구,계,'21하,63.4
서울특별시,중구,계,'22상,65.7
서울특별시,중구,남자,'21상,68.9
서울특별시,중구,남자,'21하,69.7
서울특별시,중구,남자,'22상,70.7
서울특별시,중구,여자,'21상,57.0
서울특별시,중구,여자,'21하,57.6
서울특별시,중구,여자,'22상,61.1
서울특별시,용산구,계,'21상,67.1
서울특별시,용산구,계,'21하,67.6
서울특별시,용산구,계,'22상,69.5
서울특별시,용산구,남자,'21상,75.6
서울특별시,용산구,남자,'21하,75.0
서울특별시,용산구,남자,'22상,77.3
서울특별시,용산구,여자,'21상,59.3
서울특별시,용산구,여자,'21하,60.9
서울특별시,용산구,여자,'22상,62.5
서울특별시,성동구,계,'21상,63.7
서울특별시,성동구,계,'21하,64.5
서울특별시,성동구,계,'22상,66.8
서울특별시,성동구,남자,'21상,71.6
서울특별시,성동구,남자,'21하,72.3
서울특별시,성동구,남자,'22상,74.9
서울특별시,성동구,여자,'21상,56.1
서울특별시,성동구,여자,'21하,57.1
서울특별시,성동구,여자,'22상,59.2
서울특별시,광진구,계,'21상,62.3
서울특별시,광진구,계,'21하,63.4
서울특별시,광진구,계,'22상,66.5
서울특별시,광진구,남자,'21상,70.7
서울특별시,광진구,남자,'21하,71.0
서울특별시,광진구,남자,'22상,72.6
서울특별시,광진구,여자,'21상,54.5
서울특별시,광진구,여자,'21하,56.4
서울특별시,광진구,여자,'22상,60.9
서울특별시,동대문구,계,'21상,61.7
서울특별시,동대문구,계,'21하,62.7
서울특별시,동대문구,계,'22상,64.3
서울특별시,동대문구,남자,'21상,68.4
서울특별시,동대문구,남자,'21하,68.2
서울특별시,동대문구,남자,'22상,69.8
서울특별시,동대문구,여자,'21상,55.1
서울특별시,동대문구,여자,'21하,57.4
서울특별시,동대문구,여자,'22상,59.0
서울특별시,중랑구,계,'21상,63.0
서울특별시,중랑구,계,'21하,63.4
서울특별시,중랑구,계,'22상,65.5
서울특별시,중랑구,남자,'21상,71.9
서울특별시,중랑구,남자,'21하,72.2
서울특별시,중랑구,남자,'22상,74.6
서울특별시,중랑구,여자,'21상,54.5
서울특별시,중랑구,여자,'21하,54.8
서울특별시,중랑구,여자,'22상,56.6
서울특별시,성북구,계,'21상,59.2
서울특별시,성북구,계,'21하,60.1
서울특별시,성북구,계,'22상,61.7
서울특별시,성북구,남자,'21상,65.0
서울특별시,성북구,남자,'21하,65.8
서울특별시,성북구,남자,'22상,68.4
서울특별시,성북구,여자,'21상,53.9
서울특별시,성북구,여자,'21하,55.0
서울특별시,성북구,여자,'22상,55.7
서울특별시,강북구,계,'21상,60.7
서울특별시,강북구,계,'21하,61.8
서울특별시,강북구,계,'22상,61.1
