시도,행정구역,key,연령별,시점,고용률 (%)
서울특별시,종로구,서울특별시-종로구,15 - 29세,'21상,36.2
서울특별시,종로구,서울특별시-종로구,15 - 29세,'21하,40.3
서울특별시,종로구,서울특별시-종로구,15 - 29세,'22상,42.6
서울특별시,중구,서울특별시-중구,15 - 29세,'21상,41.6
서울특별시,중구,서울특별시-중구,15 - 29세,'21하,45.2
서울특별시,중구,서울특별시-중구,15 - 29세,'22상,42.4
서울특별시,용산구,서울특별시-용산구,15 - 29세,'21상,48.6
서울특별시,용산구,서울특별시-용산구,15 - 29세,'21하,48.2
서울특별시,용산구,서울특별시-용산구,15 - 29세,'22상,47
서울특별시,성동구,서울특별시-성동구,15 - 29세,'21상,40.8
서울특별시,성동구,서울특별시-성동구,15 - 29세,'21하,41.6
서울특별시,성동구,서울특별시-성동구,15 - 29세,'22상,44.6
서울특별시,광진구,서울특별시-광진구,15 - 29세,'21상,43.7
서울특별시,광진구,서울특별시-광진구,15 - 29세,'21하,44.5
서울특별시,광진구,서울특별시-광진구,15 - 29세,'22상,50.8
서울특별시,동대문구,서울특별시-동대문구,15 - 29세,'21상,37.6
서울특별시,동대문구,서울특별시-동대문구,15 - 29세,'21하,39.9
서울특별시,동대문구,서울특별시-동대문구,15 - 29세,'22상,42.3
서울특별시,중랑구,서울특별시-중랑구,15 - 29세,'21상,48
서울특별시,중랑구,서울특별시-중랑구,15 - 29세,'21하,46.5
서울특별시,중랑구,서울특별시-중랑구,15 - 29세,'22상,49.8
서울특별시,성북구,서울특별시-성북구,15 - 29세,'21상,35
서울특별시,성북구,서울특별시-성북구,15 - 29세,'21하,38.5
서울특별시,성북구,서울특별시-성북구,15 - 29세,'22상,36.7
서울특별시,강북구,서울특별시-강북구,15 - 29세,'21상,45.1
서울특별시,강북구,서울특별시-강북구,15 - 29세,'21하,46.5
서울특별시,강북구,서울특별시-강북구,15 - 29세,'22상,40
서울특별시,도봉구,서울특별시-도봉구,15 - 29세,'21상,46.6
서울특별시,도봉구,서울특별시-도봉구,15 - 29세,'21하,47.9
서울특별시,도봉구,서울특별시-도봉구,15 - 29세,'22상,45.7
서울특별시,노원구,서울특별시-노원구,15 - 29세,'21상,36.3
서울특별시,노원구,서울특별시-노원구,15 - 29세,'21하,36.4
서울특별시,노원구,서울특별시-노원구,15 - 29세,'22상,36.6
서울특별시,은평구,서울특별시-은평구,15 - 29세,'21상,44.4
서울특별시,은평구,서울특별시-은평구,15 - 29세,'21하,47.6
서울특별시,은평구,서울특별시-은평구,15 - 29세,'22상,46.2
서울특별시,서대문구,서울특별시-서대문구,15 - 29세,'21상,39.8
서울특별시,서대문구,서울특별시-서대문구,15 - 29세,'21하,44.1
서울특별시,서대문구,서울특별시-서대문구,15 - 29세,'22상,42.8
서울특별시,마포구,서울특별시-마포구,15 - 29세,'21상,49.6
서울특별시,마포구,서울특별시-마포구,15 - 29세,'21하,47.9
서울특별시,마포구,서울특별시-마포구,15 - 29세,'22상,47.8
서울특별시,양천구,서울특별시-양천구,15 - 29세,'21상,36.7
서울특별시,양천구,서울특별시-양천구,15 - 29세,'21하,33.8
서울특별시,양천구,서울특별시-양천구,15 - 29세,'22상,39.4
서울특별시,강서구,서울특별시-강서구,15 - 29세,'21상,50.1
서울특별시,강서구,서울특별시-강서구,15 - 29세,'21하,48.1
서울특별시,강서구,서울특별시-강서구,15 - 29세,'22상,50
서울특별시,구로구,서울특별시-구로구,15 - 29세,'21상,47.9
서울특별시,구로구,서울특별시-구로구,15 - 29세,'21하,48.9
서울특별시,구로구,서울특별시-구로구,15 - 29세,'22상,47.3
서울특별시,금천구,서울특별시-금천구,15 - 29세,'21상,54.9
서울특별시,금천구,서울특별시-금천구,15 - 29세,'21하,54.6
서울특별시,금천구,서울특별시-금천구,15 - 29세,'22상,57.1
서울특별시,영등포구,서울특별시-영등포구,15 - 29세,'21상,52.6
서울특별시,영등포구,서울특별시-영등포구,15 - 29세,'21하,50.5
서울특별시,영등포구,서울특별시-영등포구,15 - 29세,'22상,52.3
서울특별시,동작구,서울특별시-동작구,15 - 29세,'21상,41.8
