시도,행정구역,직업별,2021.1/2,2022.1/2
서울특별시,종로구,계,73.1,78.3
서울특별시,종로구,"관리자, 전문가",25.0,24.5
서울특별시,종로구,사무종사자,13.6,16.6
서울특별시,종로구,서비스·판매,16.9,20.4
서울특별시,종로구,농림어업,0.2,0.2
서울특별시,종로구,기능·기계조작·조립,9.2,8.4
서울특별시,종로구,단순노무,8.2,8.2
서울특별시,중구,계,65.4,69.4
서울특별시,중구,"관리자, 전문가",15.4,18.3
서울특별시,중구,사무종사자,14.0,13.1
서울특별시,중구,서비스·판매,17.5,18.9
서울특별시,중구,농림어업,0.0,0.0
서울특별시,중구,기능·기계조작·조립,10.5,10.1
서울특별시,중구,단순노무,8.1,9.0
서울특별시,용산구,계,121.0,122.8
서울특별시,용산구,"관리자, 전문가",43.1,43.4
서울특별시,용산구,사무종사자,29.4,29.6
서울특별시,용산구,서비스·판매,26.2,26.8
서울특별시,용산구,농림어업,0.0,0.0
서울특별시,용산구,기능·기계조작·조립,10.0,10.7
서울특별시,용산구,단순노무,12.4,12.3
서울특별시,성동구,계,147.1,150.1
서울특별시,성동구,"관리자, 전문가",50.5,52.1
서울특별시,성동구,사무종사자,40.5,39.4
서울특별시,성동구,서비스·판매,27.1,27.5
서울특별시,성동구,농림어업,0.1,0.0
서울특별시,성동구,기능·기계조작·조립,17.4,14.9
서울특별시,성동구,단순노무,11.6,16.2
서울특별시,광진구,계,179.8,190.7
서울특별시,광진구,"관리자, 전문가",49.9,54.2
서울특별시,광진구,사무종사자,35.9,38.9
서울특별시,광진구,서비스·판매,40.9,45.5
서울특별시,광진구,농림어업,0.2,0.2
서울특별시,광진구,기능·기계조작·조립,28.9,25.9
서울특별시,광진구,단순노무,24.0,26.0
서울특별시,동대문구,계,171.0,178.5
서울특별시,동대문구,"관리자, 전문가",42.8,44.9
서울특별시,동대문구,사무종사자,34.2,39.4
서울특별시,동대문구,서비스·판매,44.6,46.1
서울특별시,동대문구,농림어업,0.0,0.0
서울특별시,동대문구,기능·기계조작·조립,25.7,23.6
서울특별시,동대문구,단순노무,23.7,24.5
서울특별시,중랑구,계,190.6,193.5
서울특별시,중랑구,"관리자, 전문가",43.9,49.4
서울특별시,중랑구,사무종사자,36.2,35.6
서울특별시,중랑구,서비스·판매,46.3,46.2
서울특별시,중랑구,농림어업,0.2,0.0
서울특별시,중랑구,기능·기계조작·조립,39.0,34.7
서울특별시,중랑구,단순노무,24.9,27.6
서울특별시,성북구,계,204.3,211.0
서울특별시,성북구,"관리자, 전문가",58.9,61.7
서울특별시,성북구,사무종사자,42.3,50.2
서울특별시,성북구,서비스·판매,48.3,47.1
서울특별시,성북구,농림어업,0.2,0.1
서울특별시,성북구,기능·기계조작·조립,30.8,28.2
서울특별시,성북구,단순노무,23.9,23.6
서울특별시,강북구,계,139.6,137.0
서울특별시,강북구,"관리자, 전문가",28.4,31.0
서울특별시,강북구,사무종사자,28.3,27.2
서울특별시,강북구,서비스·판매,36.0,32.6
서울특별시,강북구,농림어업,0.0,0.0
서울특별시,강북구,기능·기계조작·조립,25.8,26.4
서울특별시,강북구,단순노무,21.1,19.8
서울특별시,도봉구,계,149.5,150.3
서울특별시,도봉구,"관리자, 전문가",30.7,32.1
서울특별시,도봉구,사무종사자,30.6,30.2
서울특별시,도봉구,서비스·판매,37.1,41.6
서울특별시,도봉구,농림어업,0.0,0.2
서울특별시,도봉구,기능·기계조작·조립,30.5,27.4
서울특별시,도봉구,단순노무,20.6,18.9
서울특별시,노원구,계,241.7,242.2
서울특별시,노원구,"관리자, 전문가",79.8,79.6
서울특별시,노원구,사무종사자,54.8,57.5
서울특별시,노원구,서비스·판매,55.1,53.5
서울특별시,노원구,농림어업,0.0,0.0
서울특별시,노원구,기능·기계조작·조립,26.7,27.8
서울특별시,노원구,단순노무,25.2,23.8
서울특별시,은평구,계,224.6,227.9
서울특별시,은평구,"관리자, 전문가",65.5,69.0
서울특별시,은평구,사무종사자,51.2,51.1
서울특별시,은평구,서비스·판매,52.3,49.7
서울특별시,은평구,농림어업,0.1,0.3
서울특별시,은평구,기능·기계조작·조립,28.5,30.3
서울특별시,은평구,단순노무,27.0,27.6
서울특별시,서대문구,계,152.2,152.8
서울특별시,서대문구,"관리자, 전문가",52.9,52.6
서울특별시,서대문구,사무종사자,35.1,33.7
서울특별시,서대문구,서비스·판매,31.9,32.3
서울특별시,서대문구,농림어업,0.1,0.2
서울특별시,서대문구,기능·기계조작·조립,16.0,15.3
서울특별시,서대문구,단순노무,16.1,18.7
서울특별시,마포구,계,195.6,201.6
서울특별시,마포구,"관리자, 전문가",74.1,79.4
서울특별시,마포구,사무종사자,51.0,55.8
서울특별시,마포구,서비스·판매,37.1,33.7
서울특별시,마포구,농림어업,0.3,0.2
서울특별시,마포구,기능·기계조작·조립,16.2,15.6
서울특별시,마포구,단순노무,16.8,16.8
서울특별시,양천구,계,210.5,214.3
서울특별시,양천구,"관리자, 전문가",75.6,78.6
서울특별시,양천구,사무종사자,49.6,49.8
서울특별시,양천구,서비스·판매,39.7,42.7
서울특별시,양천구,농림어업,0.1,0.3
서울특별시,양천구,기능·기계조작·조립,23.5,21.2
서울특별시,양천구,단순노무,22.0,21.7
