시도,행정구역,산업대,2019 년,2020 년
전국,전체,전체,2146156,1865536
전국,전체,A.농림어업,4330,5014
전국,전체,B.광업,976,895
전국,전체,C.제조업,302086,285805
전국,전체,D.전기가스,1911,1904
전국,전체,E.수도하수,7652,7647
전국,전체,F.건설업,120110,100511
전국,전체,G.도소매업,492672,426859
전국,전체,H.운수창고,46929,41482
전국,전체,I.숙박음식,405652,292017
전국,전체,J.정보통신,35485,37237
전국,전체,K.금융보험,39701,38236
전국,전체,L.부동산업,83565,79970
전국,전체,M.전문기술,91458,93246
전국,전체,N.사업시설,55309,49160
전국,전체,P.교육,100845,88259
전국,전체,Q.보건복지,141653,140923
전국,전체,R.예술스포츠,54929,37088
전국,전체,S.협회단체,160893,139283
서울특별시,전체,전체,455160,403351
서울특별시,전체,A.농림어업,23,37
서울특별시,전체,B.광업,20,11
서울특별시,전체,C.제조업,35536,31309
서울특별시,전체,D.전기가스,166,164
서울특별시,전체,E.수도하수,354,371
서울특별시,전체,F.건설업,17185,14189
서울특별시,전체,G.도소매업,122788,108506
서울특별시,전체,H.운수창고,8069,7344
서울특별시,전체,I.숙박음식,82037,62309
서울특별시,전체,J.정보통신,19441,20487
서울특별시,전체,K.금융보험,10336,10279
서울특별시,전체,L.부동산업,22987,22102
서울특별시,전체,M.전문기술,34699,35876
서울특별시,전체,N.사업시설,13358,12088
서울특별시,전체,P.교육,20667,18615
서울특별시,전체,Q.보건복지,27891,27859
서울특별시,전체,R.예술스포츠,11233,7925
서울특별시,전체,S.협회단체,28370,23880
서울특별시,종로구,전체,21032,18934
서울특별시,종로구,A.농림어업,3,4
서울특별시,종로구,B.광업,4,3
서울특별시,종로구,C.제조업,1999,1756
서울특별시,종로구,D.전기가스,11,11
서울특별시,종로구,E.수도하수,7,7
서울특별시,종로구,F.건설업,234,189
서울특별시,종로구,G.도소매업,6864,6270
서울특별시,종로구,H.운수창고,466,449
서울특별시,종로구,I.숙박음식,4390,3407
서울특별시,종로구,J.정보통신,563,620
서울특별시,종로구,K.금융보험,524,500
서울특별시,종로구,L.부동산업,787,828
서울특별시,종로구,M.전문기술,1179,1221
서울특별시,종로구,N.사업시설,1014,926
서울특별시,종로구,P.교육,547,503
서울특별시,종로구,Q.보건복지,692,706
서울특별시,종로구,R.예술스포츠,539,439
서울특별시,종로구,S.협회단체,1209,1095
서울특별시,중구,전체,36534,27308
서울특별시,중구,A.농림어업,0,0
서울특별시,중구,B.광업,1,1
서울특별시,중구,C.제조업,5579,4174
서울특별시,중구,D.전기가스,4,6
서울특별시,중구,E.수도하수,10,10
서울특별시,중구,F.건설업,300,233
서울특별시,중구,G.도소매업,15962,10274
서울특별시,중구,H.운수창고,817,739
서울특별시,중구,I.숙박음식,4756,3491
서울특별시,중구,J.정보통신,791,771
서울특별시,중구,K.금융보험,1134,1102
서울특별시,중구,L.부동산업,1155,1157
서울특별시,중구,M.전문기술,2136,1965
서울특별시,중구,N.사업시설,1279,1125
서울특별시,중구,P.교육,349,335
서울특별시,중구,Q.보건복지,731,734
서울특별시,중구,R.예술스포츠,324,221
서울특별시,중구,S.협회단체,1206,970
서울특별시,용산구,전체,11799,10421
서울특별시,용산구,A.농림어업,0,2
서울특별시,용산구,B.광업,0,0
서울특별시,용산구,C.제조업,487,441
서울특별시,용산구,D.전기가스,2,2
서울특별시,용산구,E.수도하수,9,9
서울특별시,용산구,F.건설업,269,216
서울특별시,용산구,G.도소매업,3934,3610
서울특별시,용산구,H.운수창고,174,155
서울특별시,용산구,I.숙박음식,3051,2337
서울특별시,용산구,J.정보통신,356,370
서울특별시,용산구,K.금융보험,232,223
서울특별시,용산구,L.부동산업,571,541
서울특별시,용산구,M.전문기술,656,633
서울특별시,용산구,N.사업시설,300,267
서울특별시,용산구,P.교육,312,307
서울특별시,용산구,Q.보건복지,521,515
서울특별시,용산구,R.예술스포츠,208,161
서울특별시,용산구,S.협회단체,717,632
서울특별시,성동구,전체,16847,15883
서울특별시,성동구,A.농림어업,2,2
서울특별시,성동구,B.광업,0,0
서울특별시,성동구,C.제조업,2973,2753
서울특별시,성동구,D.전기가스,11,13
서울특별시,성동구,E.수도하수,18,18
서울특별시,성동구,F.건설업,493,431
서울특별시,성동구,G.도소매업,4712,4511
서울특별시,성동구,H.운수창고,246,217
서울특별시,성동구,I.숙박음식,2337,1938
서울특별시,성동구,J.정보통신,805,963
서울특별시,성동구,K.금융보험,279,270
서울특별시,성동구,L.부동산업,755,708
서울특별시,성동구,M.전문기술,1399,1463
서울특별시,성동구,N.사업시설,373,370
서울특별시,성동구,P.교육,562,499
서울특별시,성동구,Q.보건복지,735,748
서울특별시,성동구,R.예술스포츠,283,220
서울특별시,성동구,S.협회단체,864,759
서울특별시,광진구,전체,12512,10873
서울특별시,광진구,A.농림어업,0,0
서울특별시,광진구,B.광업,0,0
서울특별시,광진구,C.제조업,1077,926
서울특별시,광진구,D.전기가스,2,1
서울특별시,광진구,E.수도하수,11,10
서울특별시,광진구,F.건설업,621,495
서울특별시,광진구,G.도소매업,3006,2719
서울특별시,광진구,H.운수창고,171,141
서울특별시,광진구,I.숙박음식,2767,2094
서울특별시,광진구,J.정보통신,279,284
서울특별시,광진구,K.금융보험,200,181
서울특별시,광진구,L.부동산업,541,535
서울특별시,광진구,M.전문기술,612,605
서울특별시,광진구,N.사업시설,370,326
서울특별시,광진구,P.교육,677,639
서울특별시,광진구,Q.보건복지,885,896
서울특별시,광진구,R.예술스포츠,397,278
서울특별시,광진구,S.협회단체,896,743
서울특별시,동대문구,전체,14794,12699
서울특별시,동대문구,A.농림어업,0,0
서울특별시,동대문구,B.광업,2,1
서울특별시,동대문구,C.제조업,2008,1852
서울특별시,동대문구,D.전기가스,2,1
서울특별시,동대문구,E.수도하수,12,12
서울특별시,동대문구,F.건설업,572,408
서울특별시,동대문구,G.도소매업,4719,4174
서울특별시,동대문구,H.운수창고,185,156
서울특별시,동대문구,I.숙박음식,2662,1864
서울특별시,동대문구,J.정보통신,154,168
서울특별시,동대문구,K.금융보험,235,218
서울특별시,동대문구,L.부동산업,610,625
서울특별시,동대문구,M.전문기술,489,468
서울특별시,동대문구,N.사업시설,330,285
서울특별시,동대문구,P.교육,609,515
서울특별시,동대문구,Q.보건복지,1008,980
서울특별시,동대문구,R.예술스포츠,322,223
서울특별시,동대문구,S.협회단체,875,749
서울특별시,중랑구,전체,11339,9488
서울특별시,중랑구,A.농림어업,0,0
서울특별시,중랑구,B.광업,0,0
서울특별시,중랑구,C.제조업,2224,1953
서울특별시,중랑구,D.전기가스,4,4
서울특별시,중랑구,E.수도하수,13,15
서울특별시,중랑구,F.건설업,811,498
서울특별시,중랑구,G.도소매업,2217,1910
서울특별시,중랑구,H.운수창고,227,183
서울특별시,중랑구,I.숙박음식,1909,1328
서울특별시,중랑구,J.정보통신,99,112
서울특별시,중랑구,K.금융보험,135,128
서울특별시,중랑구,L.부동산업,466,428
서울특별시,중랑구,M.전문기술,261,267
서울특별시,중랑구,N.사업시설,273,212
서울특별시,중랑구,P.교육,459,421
서울특별시,중랑구,Q.보건복지,994,1013
서울특별시,중랑구,R.예술스포츠,334,235
서울특별시,중랑구,S.협회단체,913,781
서울특별시,성북구,전체,10596,9131
서울특별시,성북구,A.농림어업,0,0
서울특별시,성북구,B.광업,0,0
서울특별시,성북구,C.제조업,1318,1176
서울특별시,성북구,D.전기가스,2,1
서울특별시,성북구,E.수도하수,9,10
서울특별시,성북구,F.건설업,401,284
서울특별시,성북구,G.도소매업,2145,1889
서울특별시,성북구,H.운수창고,103,91
서울특별시,성북구,I.숙박음식,2339,1718
서울특별시,성북구,J.정보통신,172,180
서울특별시,성북구,K.금융보험,129,120
서울특별시,성북구,L.부동산업,425,430
서울특별시,성북구,M.전문기술,350,332
