기준년월,시도,행정구역,신규구인인원,신규구직건수,취업건수,구인배율,월
19.12월,서울특별시,종로구,683,719,173,0.949930459,12월
19.12월,서울특별시,중구,819,420,137,1.95,12월
19.12월,서울특별시,용산구,700,1026,211,0.682261209,12월
19.12월,서울특별시,성동구,586,1397,355,0.419470293,12월
19.12월,서울특별시,광진구,549,2157,490,0.254520167,12월
19.12월,서울특별시,동대문구,429,1604,514,0.267456359,12월
19.12월,서울특별시,중랑구,353,2664,661,0.132507508,12월
19.12월,서울특별시,성북구,585,2095,710,0.279236277,12월
19.12월,서울특별시,강북구,232,1870,525,0.124064171,12월
19.12월,서울특별시,도봉구,439,2144,775,0.204757463,12월
19.12월,서울특별시,노원구,1170,3501,1413,0.334190231,12월
19.12월,서울특별시,은평구,320,2713,792,0.117950608,12월
19.12월,서울특별시,서대문구,333,2040,415,0.163235294,12월
19.12월,서울특별시,마포구,1118,1944,634,0.575102881,12월
19.12월,서울특별시,양천구,794,1906,846,0.416579224,12월
19.12월,서울특별시,강서구,858,3316,1119,0.258745476,12월
19.12월,서울특별시,구로구,1059,2431,693,0.4356232,12월
19.12월,서울특별시,금천구,1153,1674,896,0.688769415,12월
19.12월,서울특별시,영등포구,2217,1668,522,1.329136691,12월
19.12월,서울특별시,동작구,711,2002,846,0.355144855,12월
19.12월,서울특별시,관악구,691,3335,880,0.207196402,12월
19.12월,서울특별시,서초구,1975,1228,267,1.608306189,12월
19.12월,서울특별시,강남구,2922,1659,317,1.761301989,12월
19.12월,서울특별시,송파구,1469,2999,689,0.489829943,12월
19.12월,서울특별시,강동구,617,2156,570,0.286178108,12월
19.12월,부산광역시,중구,301,329,91,0.914893617,12월
19.12월,부산광역시,서구,195,764,200,0.255235602,12월
19.12월,부산광역시,동구,423,820,210,0.515853659,12월
19.12월,부산광역시,영도구,235,958,260,0.245302714,12월
19.12월,부산광역시,부산진구,1315,3036,1122,0.433135705,12월
19.12월,부산광역시,동래구,635,1907,559,0.332983744,12월
19.12월,부산광역시,남구,716,1845,555,0.388075881,12월
19.12월,부산광역시,북구,536,2879,839,0.186175755,12월
19.12월,부산광역시,해운대구,1169,2664,1013,0.438813814,12월
19.12월,부산광역시,사하구,748,2575,830,0.290485437,12월
19.12월,부산광역시,금정구,508,1841,457,0.275936991,12월
19.12월,부산광역시,강서구,1437,1042,265,1.379078695,12월
19.12월,부산광역시,연제구,595,1519,445,0.391705069,12월
19.12월,부산광역시,수영구,700,1553,482,0.450740502,12월
19.12월,부산광역시,사상구,802,2155,580,0.372157773,12월
19.12월,부산광역시,기장군,964,1534,413,0.628422425,12월
19.12월,대구광역시,중구,243,409,96,0.594132029,12월
19.12월,대구광역시,동구,694,2191,518,0.316750342,12월
19.12월,대구광역시,서구,445,1270,413,0.350393701,12월
19.12월,대구광역시,남구,286,1045,251,0.273684211,12월
19.12월,대구광역시,북구,963,2848,752,0.338132022,12월
19.12월,대구광역시,수성구,646,1911,513,0.338042909,12월
19.12월,대구광역시,달서구,1323,3805,971,0.347700394,12월
19.12월,대구광역시,달성군,708,1791,519,0.395309883,12월
19.12월,인천광역시,중구,451,736,213,0.612771739,12월
19.12월,인천광역시,동구,210,560,176,0.375,12월
19.12월,인천광역시,미추홀구,934,3062,1032,0.305029393,12월
19.12월,인천광역시,연수구,662,2153,567,0.307477938,12월
19.12월,인천광역시,남동구,2602,4879,1379,0.533306005,12월
19.12월,인천광역시,부평구,839,3627,1062,0.231320651,12월
19.12월,인천광역시,계양구,663,2481,699,0.267230955,12월
19.12월,인천광역시,서구,2044,3669,1101,0.557100027,12월
19.12월,인천광역시,강화군,104,228,61,0.456140351,12월
19.12월,인천광역시,옹진군,80,56,1,1.428571429,12월
19.12월,광주광역시,동구,346,450,211,0.768888889,12월
19.12월,광주광역시,서구,1037,1737,604,0.597006333,12월
19.12월,광주광역시,남구,587,1140,473,0.514912281,12월
19.12월,광주광역시,북구,877,2652,984,0.330693816,12월
19.12월,광주광역시,광산구,1140,2451,868,0.465116279,12월
19.12월,대전광역시,동구,206,1310,339,0.157251908,12월
19.12월,대전광역시,중구,279,1325,327,0.210566038,12월
19.12월,대전광역시,서구,507,2780,711,0.182374101,12월
19.12월,대전광역시,유성구,591,1667,427,0.354529094,12월
19.12월,대전광역시,대덕구,348,1031,286,0.337536372,12월
19.12월,울산광역시,중구,370,2091,479,0.176948828,12월
19.12월,울산광역시,남구,1041,2521,781,0.412931376,12월
19.12월,울산광역시,동구,678,1373,340,0.493809177,12월
19.12월,울산광역시,북구,513,2153,440,0.238272178,12월
19.12월,울산광역시,울주군,905,1677,372,0.539654144,12월
19.12월,세종특별자치시,전체,834,1747,516,0.477389811,12월
19.12월,경기도,의정부시,1228,3775,1825,0.325298013,12월
19.12월,경기도,광명시,709,1983,628,0.357539082,12월
19.12월,경기도,평택시,2363,3506,1248,0.67398745,12월
19.12월,경기도,동두천시,286,955,239,0.29947644,12월
19.12월,경기도,과천시,195,308,48,0.633116883,12월
19.12월,경기도,구리시,526,1214,389,0.433278418,12월
19.12월,경기도,남양주시,2062,4276,1587,0.48222638,12월
19.12월,경기도,오산시,404,1808,443,0.223451327,12월
19.12월,경기도,시흥시,2491,4151,1276,0.600096362,12월
19.12월,경기도,군포시,797,2047,600,0.389350269,12월
19.12월,경기도,의왕시,331,1127,328,0.293700089,12월
19.12월,경기도,하남시,737,1780,428,0.414044944,12월
19.12월,경기도,파주시,1740,3178,841,0.54751416,12월
19.12월,경기도,이천시,1933,1432,485,1.349860335,12월
19.12월,경기도,안성시,1270,1191,393,1.066330814,12월
19.12월,경기도,김포시,3018,2890,906,1.044290657,12월
19.12월,경기도,화성시,7062,4565,1249,1.546987952,12월
19.12월,경기도,광주시,1745,2354,609,0.741291419,12월
19.12월,경기도,양주시,1125,1984,666,0.56703629,12월
19.12월,경기도,포천시,1885,1107,320,1.702800361,12월
19.12월,경기도,여주시,851,607,161,1.401976936,12월
19.12월,경기도,연천군,248,376,57,0.659574468,12월
19.12월,경기도,가평군,161,458,107,0.351528384,12월
19.12월,경기도,양평군,461,695,157,0.663309353,12월
19.12월,강원도,춘천시,1316,2332,1059,0.56432247,12월
19.12월,강원도,원주시,1610,3059,1162,0.526315789,12월
19.12월,강원도,강릉시,970,1464,664,0.662568306,12월
19.12월,강원도,동해시,153,504,128,0.303571429,12월
19.12월,강원도,태백시,78,264,83,0.295454545,12월
19.12월,강원도,속초시,416,403,324,1.032258065,12월
19.12월,강원도,삼척시,209,509,58,0.410609037,12월
19.12월,강원도,홍천군,232,498,68,0.465863454,12월
19.12월,강원도,횡성군,211,246,45,0.857723577,12월
19.12월,강원도,영월군,136,267,44,0.509363296,12월
19.12월,강원도,평창군,83,213,20,0.389671362,12월
19.12월,강원도,정선군,103,269,50,0.382899628,12월
19.12월,강원도,철원군,126,205,15,0.614634146,12월
19.12월,강원도,화천군,68,250,26,0.272,12월
19.12월,강원도,양구군,15,146,9,0.102739726,12월
19.12월,강원도,인제군,58,181,13,0.320441989,12월
19.12월,강원도,고성군,89,105,31,0.847619048,12월
19.12월,강원도,양양군,52,160,32,0.325,12월
19.12월,충청북도,충주시,1669,1470,1097,1.13537415,12월
19.12월,충청북도,제천시,878,738,572,1.189701897,12월
19.12월,충청북도,보은군,232,209,40,1.110047847,12월
19.12월,충청북도,옥천군,214,257,63,0.832684825,12월
19.12월,충청북도,영동군,87,224,44,0.388392857,12월
19.12월,충청북도,증평군,155,262,96,0.591603053,12월
19.12월,충청북도,진천군,837,564,168,1.484042553,12월
19.12월,충청북도,괴산군,243,214,70,1.135514019,12월
19.12월,충청북도,음성군,1240,501,163,2.4750499,12월
19.12월,충청북도,단양군,179,227,44,0.788546256,12월
19.12월,충청남도,공주시,209,493,140,0.423935091,12월
19.12월,충청남도,보령시,365,580,141,0.629310345,12월
19.12월,충청남도,아산시,1586,1926,691,0.823468328,12월
19.12월,충청남도,서산시,579,1089,286,0.531680441,12월
19.12월,충청남도,논산시,733,647,221,1.132921175,12월
19.12월,충청남도,계룡시,33,236,38,0.139830508,12월
19.12월,충청남도,당진시,667,741,231,0.900134953,12월
19.12월,충청남도,금산군,298,189,38,1.576719577,12월
19.12월,충청남도,부여군,518,322,61,1.608695652,12월
19.12월,충청남도,서천군,155,146,49,1.061643836,12월
19.12월,충청남도,청양군,63,89,22,0.707865169,12월
19.12월,충청남도,홍성군,282,436,110,0.646788991,12월
19.12월,충청남도,예산군,304,329,77,0.924012158,12월
19.12월,충청남도,태안군,90,306,38,0.294117647,12월
19.12월,전라북도,군산시,1638,1997,913,0.820230346,12월
19.12월,전라북도,익산시,1328,2116,1017,0.627599244,12월
19.12월,전라북도,정읍시,361,560,162,0.644642857,12월
19.12월,전라북도,남원시,488,543,81,0.898710866,12월
19.12월,전라북도,김제시,446,493,109,0.904665314,12월
19.12월,전라북도,완주군,470,658,147,0.714285714,12월
19.12월,전라북도,진안군,288,141,36,2.042553191,12월
19.12월,전라북도,무주군,160,324,57,0.49382716,12월
19.12월,전라북도,장수군,243,245,62,0.991836735,12월
19.12월,전라북도,임실군,146,161,29,0.906832298,12월
19.12월,전라북도,순창군,151,133,31,1.135338346,12월
19.12월,전라북도,고창군,197,228,42,0.864035088,12월
19.12월,전라북도,부안군,233,271,54,0.859778598,12월
19.12월,전라남도,목포시,1042,1267,1138,0.822415154,12월
19.12월,전라남도,여수시,1335,1486,802,0.898384926,12월
19.12월,전라남도,순천시,1304,1625,1049,0.802461538,12월
19.12월,전라남도,나주시,591,736,208,0.80298913,12월
19.12월,전라남도,광양시,717,930,245,0.770967742,12월
