기준년,시도,행정구역,직종_중분류,신규구인인원,신규구직건수,취업건수,구인배율
21년,서울특별시,종로구,관리직(임원·부서장),154,332,96,0.463855421686747
21년,서울특별시,종로구,경영·행정·사무직,2216,2358,774,0.9397794741306191
21년,서울특별시,종로구,금융·보험직,82,192,66,0.4270833333333333
21년,서울특별시,종로구,인문·사회과학 연구직,8,34,16,0.23529411764705882
21년,서울특별시,종로구,자연·생명과학 연구직,1,30,10,0.03333333333333333
21년,서울특별시,종로구,정보통신 연구개발직 및 공학기술직,131,403,153,0.3250620347394541
21년,서울특별시,종로구,건설·채굴 연구개발직 및 공학기술직,399,106,56,3.7641509433962264
21년,서울특별시,종로구,제조 연구개발직 및 공학기술직,146,135,43,1.0814814814814815
21년,서울특별시,종로구,교육직,58,306,77,0.1895424836601307
21년,서울특별시,종로구,법률직,19,56,22,0.3392857142857143
21년,서울특별시,종로구,사회복지·종교직,238,402,137,0.5920398009950248
21년,서울특별시,종로구,경찰·소방·교도직,0,14,3,0.0
21년,서울특별시,종로구,군인,0,0,0,0.0
21년,서울특별시,종로구,보건·의료직,258,384,181,0.671875
21년,서울특별시,종로구,예술·디자인·방송직,432,1160,335,0.3724137931034483
21년,서울특별시,종로구,스포츠·레크리에이션직,13,60,11,0.21666666666666667
21년,서울특별시,종로구,미용·예식 서비스직,11,145,27,0.07586206896551724
21년,서울특별시,종로구,여행·숙박·오락 서비스직,57,132,36,0.4318181818181818
21년,서울특별시,종로구,음식 서비스직,1442,778,217,1.8534704370179949
21년,서울특별시,종로구,경호·경비직,448,334,129,1.341317365269461
21년,서울특별시,종로구,돌봄 서비스직(간병·육아),843,498,196,1.6927710843373494
21년,서울특별시,종로구,청소 및 기타 개인서비스직,2770,627,250,4.417862838915471
21년,서울특별시,종로구,영업·판매직,774,633,144,1.2227488151658767
21년,서울특별시,종로구,운전·운송직,369,238,82,1.550420168067227
21년,서울특별시,종로구,건설·채굴직,666,262,59,2.5419847328244276
21년,서울특별시,종로구,기계 설치·정비·생산직,138,131,47,1.0534351145038168
21년,서울특별시,종로구,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),20,49,10,0.40816326530612246
21년,서울특별시,종로구,전기·전자 설치·정비·생산직,198,176,55,1.125
21년,서울특별시,종로구,정보통신 설치·정비직,14,20,10,0.7
21년,서울특별시,종로구,화학·환경 설치·정비·생산직,47,9,3,5.222222222222222
21년,서울특별시,종로구,섬유·의복 생산직,21,83,15,0.25301204819277107
21년,서울특별시,종로구,식품가공·생산직,44,129,32,0.34108527131782945
21년,서울특별시,종로구,인쇄·목재·공예 및 기타 설치·정비·생산직,84,74,26,1.135135135135135
21년,서울특별시,종로구,제조 단순직,296,86,51,3.441860465116279
21년,서울특별시,종로구,농림어업직,4,63,30,0.06349206349206349
21년,서울특별시,중구,관리직(임원·부서장),139,273,89,0.5091575091575091
21년,서울특별시,중구,경영·행정·사무직,3820,1989,670,1.9205630970336853
21년,서울특별시,중구,금융·보험직,283,89,27,3.1797752808988764
